,Year,State,Yes,No,Category,Condition,Location 1
210,2007,PR,91.1%,8.9%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Puerto Rico
"
211,2007,RI,89.5%,10.5%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Rhode Island
(41.70828019300046, -71.52247031399963)"
212,2007,SC,83.6%,16.399999999999999%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"South Carolina
(33.998821303000454, -81.04537120699968)"
213,2007,SD,86.4%,13.6%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"South Dakota
(44.353130053000484, -100.3735306369997)"
214,2007,TN,85.3%,14.7%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Tennessee
(35.68094058000048, -85.77449091399967)"
215,2007,TX,74.3%,25.7%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Texas
(31.827240407000488, -99.42677020599967)"
216,2007,UT,84.7%,15.3%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Utah
(39.360700171000474, -111.58713063499971)"
217,2007,VT,88.8%,11.2%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Vermont
(43.62538123900049, -72.51764079099962)"
218,2007,VA,88.2%,11.8%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Virginia
(37.54268067400045, -78.45789046299967)"
220,2007,WA,86%,14%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Washington
(47.52227862900048, -120.47001078999972)"
221,2007,WV,83.1%,16.899999999999999%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"West Virginia
(38.66551020200046, -80.71264013499967)"
222,2007,WI,90.2%,9.800000000000001%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Wisconsin
(44.39319117400049, -89.81637074199966)"
223,2007,WY,84.1%,15.9%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Wyoming
(43.23554134300048, -108.10983035299967)"
224,2006,AL,84%,16%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Alabama
(32.84057112200048, -86.63186076199969)"
225,2006,AK,82.5%,17.5%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Alaska
(64.84507995700051, -147.72205903599973)"
226,2006,AZ,80.400000000000006%,19.600000000000001%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Arizona
(34.865970280000454, -111.76381127699972)"
227,2006,AR,79.400000000000006%,20.6%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Arkansas
(34.74865012400045, -92.27449074299966)"
228,2006,CA,82.5%,17.5%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"California
(37.63864012300047, -120.99999953799971)"
229,2006,CO,83%,17%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Colorado
(38.843840757000464, -106.13361092099967)"
230,2006,CT,89.9%,10.1%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Connecticut
(41.56266102000046, -72.64984095199964)"
231,2006,DE,90.4%,9.6%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Delaware
(39.008830667000495, -75.57774116799965)"
232,2006,DC,91.3%,8.699999999999999%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"District of Columbia
(38.89037138500049, -77.03196112699965)"
233,2006,FL,79.599999999999994%,20.399999999999999%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Florida
(28.932040377000476, -81.92896053899966)"
234,2006,GA,84.2%,15.8%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Georgia
(32.83968109300048, -83.62758034599966)"
235,2006,HI,91.7%,8.300000000000001%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Hawaii
(21.304850435000446, -157.85774940299973)"
236,2006,ID,81.2%,18.8%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Idaho
(43.682630005000476, -114.3637300419997)"
237,2006,IL,84.9%,15.1%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Illinois
(40.48501028300046, -88.99771017799969)"
238,2006,IN,84.4%,15.6%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Indiana
(39.766910452000445, -86.14996019399968)"
239,2006,IA,89.5%,10.5%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Iowa
(42.46940091300047, -93.81649055599968)"
240,2006,KS,87%,13%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Kansas
(38.34774030000045, -98.20078122699965)"
241,2006,KY,83%,17%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Kentucky
(37.645970271000465, -84.77497104799966)"
242,2006,LA,77.099999999999994%,22.9%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Louisiana
(31.31266064400046, -92.44568007099969)"
243,2006,ME,89.6%,10.4%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Maine
(45.254228894000505, -68.98503133599962)"
244,2006,MD,89.9%,10.1%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Maryland
(39.29058096400047, -76.60926011099963)"
245,2006,MA,91.5%,8.5%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Massachusetts
(42.27687047000046, -72.08269067499964)"
246,2006,MI,87.1%,12.9%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Michigan
(44.6613195430005, -84.71439026999968)"
247,2006,MN,91.8%,8.199999999999999%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Minnesota
(46.35564873600049, -94.79420050299967)"
248,2006,MS,79.099999999999994%,20.9%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Mississippi
(32.745510099000455, -89.53803082499968)"
249,2006,MO,86.8%,13.2%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Missouri
(38.635790776000476, -92.56630005299968)"
250,2006,MT,83.4%,16.600000000000001%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Montana
(47.06652897200047, -109.42442064499971)"
253,2006,NE,85.8%,14.2%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Nebraska
(41.6410409880005, -99.36572062299967)"
254,2006,NV,77.8%,22.2%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Nevada
(39.493240390000494, -117.07184056399967)"
255,2006,NH,88.6%,11.4%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"New Hampshire
(43.65595011300047, -71.50036091999965)"
256,2006,NJ,85.8%,14.2%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"New Jersey
(40.13057004800049, -74.27369128799967)"
257,2006,NM,78.3%,21.7%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"New Mexico
(34.52088095200048, -106.24058098499967)"
258,2006,NY,86.5%,13.5%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"New York
(42.82700103200045, -75.54397042699964)"
259,2006,NC,82.2%,17.8%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"North Carolina
(35.466220975000454, -79.15925046299964)"
260,2006,ND,88.4%,11.6%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"North Dakota
(47.47531977900047, -100.11842104899966)"
261,2006,OH,87.6%,12.4%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Ohio
(40.06021014100048, -82.40426005599966)"
262,2006,OK,79.2%,20.8%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Oklahoma
(35.47203135600046, -97.52107021399968)"
263,2006,OR,83.7%,16.3%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Oregon
(44.56744942400047, -120.15503132599969)"
264,2006,PA,89.5%,10.5%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Pennsylvania
(40.79373015200048, -77.86070029399963)"
265,2006,PR,92.4%,7.6%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Puerto Rico
"
266,2006,RI,88.7%,11.3%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Rhode Island
(41.70828019300046, -71.52247031399963)"
267,2006,SC,83.4%,16.600000000000001%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"South Carolina
(33.998821303000454, -81.04537120699968)"
268,2006,SD,86.5%,13.5%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"South Dakota
(44.353130053000484, -100.3735306369997)"
269,2006,TN,86.7%,13.3%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Tennessee
(35.68094058000048, -85.77449091399967)"
270,2006,TX,74.8%,25.2%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Texas
(31.827240407000488, -99.42677020599967)"
271,2006,UT,85%,15%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Utah
(39.360700171000474, -111.58713063499971)"
272,2006,VT,88.5%,11.5%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Vermont
(43.62538123900049, -72.51764079099962)"
273,2006,VA,89.7%,10.3%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Virginia
(37.54268067400045, -78.45789046299967)"
275,2006,WA,85.5%,14.5%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Washington
(47.52227862900048, -120.47001078999972)"
276,2006,WV,84.6%,15.4%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"West Virginia
(38.66551020200046, -80.71264013499967)"
277,2006,WI,90.3%,9.699999999999999%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Wisconsin
(44.39319117400049, -89.81637074199966)"
278,2006,WY,82.1%,17.899999999999999%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Wyoming
(43.23554134300048, -108.10983035299967)"
279,2005,AL,83.1%,16.899999999999999%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Alabama
(32.84057112200048, -86.63186076199969)"
280,2005,AK,82.9%,17.100000000000001%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Alaska
(64.84507995700051, -147.72205903599973)"
281,2005,AZ,79.099999999999994%,20.9%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Arizona
(34.865970280000454, -111.76381127699972)"
282,2005,AR,80.8%,19.2%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Arkansas
(34.74865012400045, -92.27449074299966)"
283,2005,CA,82.8%,17.2%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"California
(37.63864012300047, -120.99999953799971)"
284,2005,CO,83.9%,16.100000000000001%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Colorado
(38.843840757000464, -106.13361092099967)"
285,2005,CT,91%,9%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Connecticut
(41.56266102000046, -72.64984095199964)"
286,2005,DE,92.3%,7.7%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Delaware
(39.008830667000495, -75.57774116799965)"
287,2005,DC,90.3%,9.699999999999999%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"District of Columbia
(38.89037138500049, -77.03196112699965)"
288,2005,FL,79.7%,20.3%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Florida
(28.932040377000476, -81.92896053899966)"
289,2005,GA,83.4%,16.600000000000001%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Georgia
(32.83968109300048, -83.62758034599966)"
290,2005,HI,92.2%,7.8%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Hawaii
(21.304850435000446, -157.85774940299973)"
291,2005,ID,81.099999999999994%,18.899999999999999%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Idaho
(43.682630005000476, -114.3637300419997)"
292,2005,IL,85.5%,14.5%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Illinois
(40.48501028300046, -88.99771017799969)"
293,2005,IN,84.5%,15.5%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Indiana
(39.766910452000445, -86.14996019399968)"
294,2005,IA,89.3%,10.7%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Iowa
(42.46940091300047, -93.81649055599968)"
295,2005,KS,86.8%,13.2%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Kansas
(38.34774030000045, -98.20078122699965)"
296,2005,KY,82.4%,17.600000000000001%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Kentucky
(37.645970271000465, -84.77497104799966)"
297,2005,LA,77.400000000000006%,22.6%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Louisiana
(31.31266064400046, -92.44568007099969)"
298,2005,ME,87.2%,12.8%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Maine
(45.254228894000505, -68.98503133599962)"
299,2005,MD,89.1%,10.9%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Maryland
(39.29058096400047, -76.60926011099963)"
300,2005,MA,89.7%,10.3%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Massachusetts
(42.27687047000046, -72.08269067499964)"
301,2005,MI,87.4%,12.6%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Michigan
(44.6613195430005, -84.71439026999968)"
302,2005,MN,93%,7%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Minnesota
(46.35564873600049, -94.79420050299967)"
303,2005,MS,81.5%,18.5%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Mississippi
(32.745510099000455, -89.53803082499968)"
304,2005,MO,87.1%,12.9%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Missouri
(38.635790776000476, -92.56630005299968)"
305,2005,MT,78.5%,21.5%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Montana
(47.06652897200047, -109.42442064499971)"
308,2005,NE,86.2%,13.8%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Nebraska
(41.6410409880005, -99.36572062299967)"
309,2005,NV,78.3%,21.7%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Nevada
(39.493240390000494, -117.07184056399967)"
310,2005,NH,89.5%,10.5%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"New Hampshire
(43.65595011300047, -71.50036091999965)"
311,2005,NJ,85.5%,14.5%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"New Jersey
(40.13057004800049, -74.27369128799967)"
312,2005,NM,78.099999999999994%,21.9%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"New Mexico
(34.52088095200048, -106.24058098499967)"
313,2005,NY,86.3%,13.7%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"New York
(42.82700103200045, -75.54397042699964)"
314,2005,NC,80.900000000000006%,19.100000000000001%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"North Carolina
(35.466220975000454, -79.15925046299964)"
315,2005,ND,88.5%,11.5%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"North Dakota
(47.47531977900047, -100.11842104899966)"
316,2005,OH,87.2%,12.8%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Ohio
(40.06021014100048, -82.40426005599966)"
